2018-04-13 13:44:10.222289	ROS_Task	{'action': 'BEGIN', 'task': 'Water_Plants'}	
2018-04-13 13:44:15.126023	M005	ON	
2018-04-13 13:44:17.187373	M006	ON	LIVING_ROOM	
2018-04-13 13:44:17.398004	MA201	ON	
2018-04-13 13:44:17.513757	M003	ON	LIVING_ROOM	
2018-04-13 13:44:18.461549	M002	ON	LIVING_ROOM	
2018-04-13 13:44:19.734079	EST308	MOVED	WATER_CAN	
2018-04-13 13:44:19.844280	ROS_Task_Step	{'step': '0', 'task': 'Water_Plants', 'id': 'get_can'}	
2018-04-13 13:44:20.724637	EST309	MOVED	WATER_CAN	
2018-04-13 13:44:22.724888	MA201	ON	
2018-04-13 13:44:23.146463	M002	ON	LIVING_ROOM	
2018-04-13 13:44:23.718068	M007	ON	LIVING_ROOM	
2018-04-13 13:44:23.725493	EST309	MOVED	WATER_CAN	
2018-04-13 13:44:23.736607	EST308	MOVED	WATER_CAN	
2018-04-13 13:44:24.871694	M008	ON	LIVING_ROOM	
2018-04-13 13:44:25.428711	M009	ON	LIVING_ROOM	
2018-04-13 13:44:25.850163	M016	ON	KITCHEN	
2018-04-13 13:44:26.284893	ROS_Battery	11.380	
2018-04-13 13:44:27.028700	MA202	ON	KITCHEN	
2018-04-13 13:44:27.259385	M017	ON	KITCHEN	
2018-04-13 13:44:30.740378	EST315	MOVED	SINK_TAP	
2018-04-13 13:44:30.742128	EST316	MOVED	SINK_TAP	
2018-04-13 13:44:30.822650	ROS_Task_Step	{'step': '1', 'task': 'Water_Plants', 'id': 'fill_can'}	
2018-04-13 13:44:32.736605	EST315	MOVED	SINK_TAP	
2018-04-13 13:44:33.736538	EST316	MOVED	SINK_TAP	
2018-04-13 13:44:35.735683	EST315	MOVED	SINK_TAP	
2018-04-13 13:44:35.738896	EST316	MOVED	SINK_TAP	
2018-04-13 13:44:37.735284	EST315	MOVED	SINK_TAP	
2018-04-13 13:44:37.738275	EST316	MOVED	SINK_TAP	
2018-04-13 13:44:38.732927	EST308	MOVED	WATER_CAN	
2018-04-13 13:44:41.873289	MA202	ON	KITCHEN	
2018-04-13 13:44:42.259427	M017	ON	KITCHEN	
2018-04-13 13:44:42.725141	EST309	MOVED	WATER_CAN	
2018-04-13 13:44:42.735891	EST308	MOVED	WATER_CAN	
2018-04-13 13:44:44.035018	M016	ON	KITCHEN	
2018-04-13 13:44:45.675432	M009	ON	LIVING_ROOM	
2018-04-13 13:44:45.900682	MA201	ON	
2018-04-13 13:44:46.437806	M008	ON	LIVING_ROOM	
2018-04-13 13:44:46.563217	M007	ON	LIVING_ROOM	
2018-04-13 13:44:48.228362	M010	ON	LIVING_ROOM	
2018-04-13 13:44:49.251487	M006	ON	LIVING_ROOM	
2018-04-13 13:44:50.730009	EST304	MOVED	COFFEE_TABLE_PLANT	
2018-04-13 13:44:50.762015	ROS_Task_Step	{'step': '2', 'task': 'Water_Plants', 'id': 'water_plantcoffee'}	
2018-04-13 13:44:51.117268	M006	ON	LIVING_ROOM	
2018-04-13 13:44:55.729744	EST305	MOVED	COFFEE_TABLE_PLANT	
2018-04-13 13:44:55.732709	EST304	MOVED	COFFEE_TABLE_PLANT	
2018-04-13 13:44:56.740272	M006	ON	LIVING_ROOM	
2018-04-13 13:44:58.621162	M006	ON	LIVING_ROOM	
2018-04-13 13:44:58.732244	EST308	MOVED	WATER_CAN	
2018-04-13 13:45:00.622151	M007	ON	LIVING_ROOM	
2018-04-13 13:45:00.913114	MA201	ON	
2018-04-13 13:45:01.158743	M010	ON	LIVING_ROOM	
2018-04-13 13:45:01.725187	EST309	MOVED	WATER_CAN	
2018-04-13 13:45:02.051751	M005	ON	
2018-04-13 13:45:03.711368	MA201	ON	
2018-04-13 13:45:03.728974	EST302	MOVED	SIDE_TABLE_PLANT	
2018-04-13 13:45:03.741308	EST303	MOVED	SIDE_TABLE_PLANT	
2018-04-13 13:45:03.918709	ROS_Task_Step	{'step': '3', 'task': 'Water_Plants', 'id': 'water_plantside'}	
2018-04-13 13:45:04.732498	EST308	MOVED	WATER_CAN	
2018-04-13 13:45:06.724780	EST309	MOVED	WATER_CAN	
2018-04-13 13:45:06.729151	EST302	MOVED	SIDE_TABLE_PLANT	
2018-04-13 13:45:07.733226	EST308	MOVED	WATER_CAN	
2018-04-13 13:45:07.739406	EST303	MOVED	SIDE_TABLE_PLANT	
2018-04-13 13:45:10.172125	MA201	ON	
2018-04-13 13:45:10.732801	EST308	MOVED	WATER_CAN	
2018-04-13 13:45:13.051032	M006	ON	LIVING_ROOM	
2018-04-13 13:45:13.723369	M010	ON	LIVING_ROOM	
2018-04-13 13:45:13.724838	EST309	MOVED	WATER_CAN	
2018-04-13 13:45:13.735914	EST308	MOVED	WATER_CAN	
2018-04-13 13:45:13.898742	MA201	ON	
2018-04-13 13:45:14.310557	M007	ON	LIVING_ROOM	
2018-04-13 13:45:14.926855	M009	ON	LIVING_ROOM	
2018-04-13 13:45:14.931895	M008	ON	LIVING_ROOM	
2018-04-13 13:45:16.667220	M016	ON	KITCHEN	
2018-04-13 13:45:17.835856	MA202	ON	KITCHEN	
2018-04-13 13:45:18.067911	M017	ON	KITCHEN	
2018-04-13 13:45:22.739808	EST315	MOVED	SINK_TAP	
2018-04-13 13:45:22.741512	EST316	MOVED	SINK_TAP	
2018-04-13 13:45:22.838439	ROS_Task_Step	{'step': '4', 'task': 'Water_Plants', 'id': 'rinse_can'}	
2018-04-13 13:45:24.732854	EST308	MOVED	WATER_CAN	
2018-04-13 13:45:24.738046	EST315	MOVED	SINK_TAP	
2018-04-13 13:45:24.740209	EST316	MOVED	SINK_TAP	
2018-04-13 13:45:24.781925	ROS_Task_Step	{'step': '5', 'task': 'Water_Plants', 'id': 'return_can'}	
2018-04-13 13:45:26.343461	ROS_Battery	11.380	
2018-04-13 13:45:26.845451	MA202	ON	KITCHEN	
2018-04-13 13:45:28.004316	M017	ON	KITCHEN	
2018-04-13 13:45:29.733297	EST308	MOVED	WATER_CAN	
2018-04-13 13:45:29.970055	M016	ON	KITCHEN	
2018-04-13 13:45:31.048338	M009	ON	LIVING_ROOM	
2018-04-13 13:45:31.614909	M008	ON	LIVING_ROOM	
2018-04-13 13:45:31.830694	MA201	ON	
2018-04-13 13:45:32.347080	M007	ON	LIVING_ROOM	
2018-04-13 13:45:33.455553	M002	ON	LIVING_ROOM	
2018-04-13 13:45:33.724380	EST309	MOVED	WATER_CAN	
2018-04-13 13:45:36.459997	M002	ON	LIVING_ROOM	
2018-04-13 13:45:36.529959	MA201	ON	
2018-04-13 13:45:38.763770	ROS_Task	{'action': 'END', 'task': 'Water_Plants'}	
