2018-04-13 09:41:53.909475	ROS_Task	{'action': 'BEGIN', 'task': 'Take_Medication'}	
2018-04-13 09:41:57.488766	M006	ON	
2018-04-13 09:41:57.684295	M005	ON	
2018-04-13 09:41:58.331453	MA201	ON	
2018-04-13 09:41:58.817772	M005	OFF	
2018-04-13 09:41:59.469932	MA201	OFF	
2018-04-13 09:42:00.593299	MA201	ON	
2018-04-13 09:42:01.440841	M005	ON	
2018-04-13 09:42:01.731746	ZB010	OK	
2018-04-13 09:42:01.736743	M010	ON	
2018-04-13 09:42:02.383680	M007	ON	
2018-04-13 09:42:02.474013	MA201	OFF	
2018-04-13 09:42:02.624638	M005	OFF	
2018-04-13 09:42:03.582505	M009	ON	
2018-04-13 09:42:03.657915	M006	OFF	
2018-04-13 09:42:03.893162	M008	ON	
2018-04-13 09:42:03.908293	MA201	ON	
2018-04-13 09:42:03.933313	M010	OFF	
2018-04-13 09:42:04.068817	MA207	ON	
2018-04-13 09:42:05.157081	M007	OFF	
2018-04-13 09:42:05.192200	MA201	OFF	
2018-04-13 09:42:05.237493	M016	ON	
2018-04-13 09:42:05.558327	M008	OFF	
2018-04-13 09:42:05.939902	MA207	OFF	
2018-04-13 09:42:06.069785	MA202	ON	
2018-04-13 09:42:06.185188	M009	OFF	
2018-04-13 09:42:07.163119	M017	ON	
2018-04-13 09:42:07.298449	M016	OFF	
2018-04-13 09:42:08.010808	M018	ON	
2018-04-13 09:42:08.011705	LS018	04	
2018-04-13 09:42:08.377488	MA207	ON	
2018-04-13 09:42:09.590822	M017	OFF	
2018-04-13 09:42:10.438690	MA207	OFF	
2018-04-13 09:42:10.458626	M018	OFF	
2018-04-13 09:42:10.459525	LS018	05	
2018-04-13 09:42:10.641081	EST318	MOVED	
2018-04-13 09:42:10.649239	EST317	MOVED	
2018-04-13 09:42:10.675773	ROS_Task_Step	{'step': '0', 'task': 'Take_Medication', 'id': 'get_food'}	
2018-04-13 09:42:10.750241	MA202	OFF	
2018-04-13 09:42:12.641437	EST318	STILL	
2018-04-13 09:42:15.424637	ZB109	OK	
2018-04-13 09:42:15.641133	EST318	MOVED	
2018-04-13 09:42:16.071602	M018	ON	
2018-04-13 09:42:16.949521	MA202	ON	
2018-04-13 09:42:17.466021	M017	ON	
2018-04-13 09:42:18.885739	M018	OFF	
