2018-04-13 09:24:23.805464	ROS_Task	{'action': 'BEGIN', 'task': 'Walk_Dog'}	
2018-04-13 09:24:32.025828	ROS_Battery	12.200	
2018-04-13 09:24:39.925401	M006	ON	LIVING_ROOM	
2018-04-13 09:24:40.371734	M005	ON	
2018-04-13 09:24:44.048065	M006	ON	LIVING_ROOM	
2018-04-13 09:24:48.140935	MA201	ON	
2018-04-13 09:24:48.552111	M006	ON	LIVING_ROOM	
2018-04-13 09:24:49.379632	M004	ON	LIVING_ROOM	
2018-04-13 09:24:49.795809	M003	ON	LIVING_ROOM	
2018-04-13 09:24:50.071826	MA201	ON	
2018-04-13 09:24:50.799506	M002	ON	LIVING_ROOM	
2018-04-13 09:24:51.400656	M007	ON	LIVING_ROOM	
2018-04-13 09:24:51.540992	M001	ON	LIVING_ROOM	
2018-04-13 09:24:53.075865	M060	ON	HALLWAY	
2018-04-13 09:24:53.642387	M023	ON	HALLWAY	
2018-04-13 09:24:54.093730	M059	ON	HALLWAY	
2018-04-13 09:24:54.660552	EST324	MOVED	UMBRELLA	
2018-04-13 09:24:54.708779	ROS_Task_Step	{'step': '0', 'task': 'Walk_Dog', 'id': 'get_umbrella'}	
2018-04-13 09:24:55.655919	EST323	MOVED	UMBRELLA	
2018-04-13 09:24:56.827104	M060	ON	HALLWAY	
2018-04-13 09:24:58.617776	M059	ON	HALLWAY	
2018-04-13 09:24:58.963670	MA203	ON	HALLWAY	
2018-04-13 09:25:00.654111	M059	ON	HALLWAY	
2018-04-13 09:25:01.882713	M060	ON	HALLWAY	
2018-04-13 09:25:03.655163	EST323	MOVED	UMBRELLA	
2018-04-13 09:25:03.662239	EST324	MOVED	UMBRELLA	
2018-04-13 09:25:05.655561	EST323	MOVED	UMBRELLA	
2018-04-13 09:25:05.662768	EST324	MOVED	UMBRELLA	
2018-04-13 09:25:05.739525	MA203	ON	HALLWAY	
2018-04-13 09:25:06.090572	M059	ON	HALLWAY	
2018-04-13 09:25:06.376856	M060	ON	HALLWAY	
2018-04-13 09:25:07.033986	M022	ON	HALLWAY	
2018-04-13 09:25:07.620558	M058	ON	HALLWAY	
2018-04-13 09:25:08.834234	M057	ON	HALLWAY	
2018-04-13 09:25:09.662037	EST322	MOVED	LEASH	
2018-04-13 09:25:09.699735	ROS_Task_Step	{'step': '1', 'task': 'Walk_Dog', 'id': 'get_leash'}	
2018-04-13 09:25:10.760120	M057	ON	HALLWAY	
2018-04-13 09:25:17.882642	M057	ON	HALLWAY	
2018-04-13 09:25:18.479310	MA203	ON	HALLWAY	
2018-04-13 09:25:18.906113	M056	ON	HALLWAY	
2018-04-13 09:25:19.056098	M019	ON	KITCHEN_HALLWAY	
2018-04-13 09:25:19.657287	EST321	MOVED	LEASH	
2018-04-13 09:25:20.511716	M057	ON	HALLWAY	
2018-04-13 09:25:21.656048	EST320	MOVED	KEYS	
2018-04-13 09:25:21.664611	EST322	MOVED	LEASH	
2018-04-13 09:25:21.688690	ROS_Task_Step	{'step': '2', 'task': 'Walk_Dog', 'id': 'get_keys'}	
2018-04-13 09:25:25.660911	EST324	MOVED	UMBRELLA	
2018-04-13 09:25:26.655093	EST323	MOVED	UMBRELLA	
2018-04-13 09:25:27.658839	EST324	MOVED	UMBRELLA	
2018-04-13 09:25:27.865292	M019	ON	KITCHEN_HALLWAY	
2018-04-13 09:25:28.171221	M056	ON	HALLWAY	
2018-04-13 09:25:28.948822	M057	ON	HALLWAY	
2018-04-13 09:25:29.491044	MA203	ON	HALLWAY	
2018-04-13 09:25:29.653226	EST319	MOVED	KEYS	
2018-04-13 09:25:30.298550	M055	ON	HALLWAY	
2018-04-13 09:25:30.940882	M024	ON	HALLWAY	
2018-04-13 09:25:31.482660	M054	ON	HALLWAY	
2018-04-13 09:25:32.064991	ROS_Battery	12.200	
2018-04-13 09:25:32.625936	M025	ON	HALLWAY	
2018-04-13 09:25:33.652381	EST327	MOVED	DOG	
2018-04-13 09:25:33.662888	EST328	MOVED	DOG	
2018-04-13 09:25:33.697532	ROS_Task_Step	{'step': '3', 'task': 'Walk_Dog', 'id': 'leash_dog'}	
