2018-04-13 13:12:52.592595	ROS_Task	{'action': 'BEGIN', 'task': 'Walk_Dog'}	
2018-04-13 13:12:55.984184	M005	ON	
2018-04-13 13:12:57.865318	M005	ON	
2018-04-13 13:12:59.375048	M006	ON	LIVING_ROOM	
2018-04-13 13:13:00.188584	MA201	ON	
2018-04-13 13:13:00.293500	M003	ON	LIVING_ROOM	
2018-04-13 13:13:00.898075	M004	ON	LIVING_ROOM	
2018-04-13 13:13:01.665693	M002	ON	LIVING_ROOM	
2018-04-13 13:13:02.367367	M001	ON	LIVING_ROOM	
2018-04-13 13:13:02.628138	M023	ON	HALLWAY	
2018-04-13 13:13:03.044498	M060	ON	HALLWAY	
2018-04-13 13:13:03.731502	MA203	ON	HALLWAY	
2018-04-13 13:13:03.741724	M059	ON	HALLWAY	
2018-04-13 13:13:04.757768	EST323	MOVED	UMBRELLA	
2018-04-13 13:13:04.786575	ROS_Task_Step	{'step': '0', 'task': 'Walk_Dog', 'id': 'get_umbrella'}	
2018-04-13 13:13:05.592269	M059	ON	HALLWAY	
2018-04-13 13:13:08.767036	EST324	MOVED	UMBRELLA	
2018-04-13 13:13:10.763740	EST324	MOVED	UMBRELLA	
2018-04-13 13:13:11.290785	M060	ON	HALLWAY	
2018-04-13 13:13:11.758521	EST323	MOVED	UMBRELLA	
2018-04-13 13:13:11.790326	M059	ON	HALLWAY	
2018-04-13 13:13:12.191721	MA203	ON	HALLWAY	
2018-04-13 13:13:12.231705	M022	ON	HALLWAY	
2018-04-13 13:13:12.332133	M058	ON	HALLWAY	
2018-04-13 13:13:12.362031	M023	ON	HALLWAY	
2018-04-13 13:13:13.796455	M057	ON	HALLWAY	
2018-04-13 13:13:14.764297	EST322	MOVED	LEASH	
2018-04-13 13:13:14.790599	ROS_Task_Step	{'step': '1', 'task': 'Walk_Dog', 'id': 'get_leash'}	
2018-04-13 13:13:15.761205	EST321	MOVED	LEASH	
2018-04-13 13:13:19.423505	M057	ON	HALLWAY	
2018-04-13 13:13:19.729456	M022	ON	HALLWAY	
2018-04-13 13:13:19.749717	MA203	ON	HALLWAY	
2018-04-13 13:13:19.757724	EST323	MOVED	UMBRELLA	
2018-04-13 13:13:19.763522	EST321	MOVED	LEASH	
2018-04-13 13:13:19.767835	EST324	MOVED	UMBRELLA	
2018-04-13 13:13:20.125692	M019	ON	KITCHEN_HALLWAY	
2018-04-13 13:13:20.442157	M056	ON	HALLWAY	
2018-04-13 13:13:21.762229	EST320	MOVED	KEYS	
2018-04-13 13:13:21.771462	EST322	MOVED	LEASH	
2018-04-13 13:13:21.814477	ROS_Task_Step	{'step': '2', 'task': 'Walk_Dog', 'id': 'get_keys'}	
2018-04-13 13:13:22.756022	EST319	MOVED	KEYS	
2018-04-13 13:13:22.763889	EST321	MOVED	LEASH	
2018-04-13 13:13:24.485514	ROS_Battery	12.110	
2018-04-13 13:13:25.314119	M056	ON	HALLWAY	
2018-04-13 13:13:25.758028	EST323	MOVED	UMBRELLA	
2018-04-13 13:13:25.763554	EST321	MOVED	LEASH	
2018-04-13 13:13:25.767576	EST324	MOVED	UMBRELLA	
2018-04-13 13:13:25.770470	EST322	MOVED	LEASH	
2018-04-13 13:13:26.026124	MA203	ON	HALLWAY	
2018-04-13 13:13:26.703250	M019	ON	KITCHEN_HALLWAY	
2018-04-13 13:13:26.758767	EST320	MOVED	KEYS	
2018-04-13 13:13:26.773503	M055	ON	HALLWAY	
2018-04-13 13:13:26.778421	M024	ON	HALLWAY	
2018-04-13 13:13:27.009099	M054	ON	HALLWAY	
2018-04-13 13:13:28.253002	M025	ON	HALLWAY	
2018-04-13 13:13:29.761595	EST328	MOVED	DOG	
2018-04-13 13:13:29.795667	ROS_Task_Step	{'step': '3', 'task': 'Walk_Dog', 'id': 'leash_dog'}	
2018-04-13 13:13:33.571112	M054	ON	HALLWAY	
2018-04-13 13:13:34.277769	M055	ON	HALLWAY	
2018-04-13 13:13:35.335983	M024	ON	HALLWAY	
2018-04-13 13:13:36.570704	M054	ON	HALLWAY	
2018-04-13 13:13:36.757695	EST325	MOVED	DOOR	
2018-04-13 13:13:36.769032	EST326	MOVED	DOOR	
2018-04-13 13:13:36.795354	ROS_Task_Step	{'step': '4', 'task': 'Walk_Dog', 'id': 'exit_house'}	
2018-04-13 13:13:37.755230	EST327	MOVED	DOG	
2018-04-13 13:13:37.759261	EST319	MOVED	KEYS	
2018-04-13 13:13:37.765201	EST320	MOVED	KEYS	
2018-04-13 13:13:37.768233	EST321	MOVED	LEASH	
2018-04-13 13:13:37.824368	M024	ON	HALLWAY	
2018-04-13 13:13:38.004962	M025	ON	HALLWAY	
2018-04-13 13:13:38.231347	MA203	ON	HALLWAY	
2018-04-13 13:13:38.764630	EST326	MOVED	DOOR	
2018-04-13 13:13:44.704588	ROS_Task	{'action': 'END', 'task': 'Walk_Dog'}	
